_id,Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Less than $10,000","Margin of Error; Total: - Less than $10,000","Estimate; Total: - $10,000 to $14,999","Margin of Error; Total: - $10,000 to $14,999","Estimate; Total: - $15,000 to $19,999","Margin of Error; Total: - $15,000 to $19,999","Estimate; Total: - $20,000 to $24,999","Margin of Error; Total: - $20,000 to $24,999","Estimate; Total: - $25,000 to $29,999","Margin of Error; Total: - $25,000 to $29,999","Estimate; Total: - $30,000 to $34,999","Margin of Error; Total: - $30,000 to $34,999","Estimate; Total: - $35,000 to $39,999","Margin of Error; Total: - $35,000 to $39,999","Estimate; Total: - $40,000 to $44,999","Margin of Error; Total: - $40,000 to $44,999","Estimate; Total: - $45,000 to $49,999","Margin of Error; Total: - $45,000 to $49,999","Estimate; Total: - $50,000 to $59,999","Margin of Error; Total: - $50,000 to $59,999","Estimate; Total: - $60,000 to $74,999","Margin of Error; Total: - $60,000 to $74,999","Estimate; Total: - $75,000 to $99,999","Margin of Error; Total: - $75,000 to $99,999","Estimate; Total: - $100,000 to $124,999","Margin of Error; Total: - $100,000 to $124,999","Estimate; Total: - $125,000 to $149,999","Margin of Error; Total: - $125,000 to $149,999","Estimate; Total: - $150,000 to $199,999","Margin of Error; Total: - $150,000 to $199,999","Estimate; Total: - $200,000 or more","Margin of Error; Total: - $200,000 or more",weightsIncome,weightsRent,rentIncomeRatio
64,Point Breeze,64,2342.0,137.433620341,144.0,67.394361782,91.0,46.1627555503,85.0,47.6550102297,44.0,34.0147027034,91.0,62.0966987851,35.0,32.8633534503,33.0,30.9192496674,77.0,51.7107338954,74.0,41.2795348811,205.0,70.9929573972,103.0,45.4642716867,245.0,63.0079360081,229.0,61.2045749925,138.0,51.0294032888,266.0,62.9523629421,482.0,78.8542960149,0.07553586678052945,0.7589115646258503,0.0995318431044983
2,Allegheny West,2,146.0,36.0,0.0,10.0,3.0,7.0,4.0,6.0,15.0,10.0,20.0,15.0,12.0,16.0,0.0,10.0,16.0,13.0,4.0,6.0,7.0,10.0,4.0,8.0,11.0,10.0,20.0,17.0,0.0,10.0,9.0,13.0,21.0,24.0,0.05924657534246575,0.6424657534246575,0.09221748400852879
27,East Carnegie,27,264.0,39.0,5.0,9.0,14.0,14.0,22.0,16.0,19.0,14.0,6.0,9.0,17.0,15.0,6.0,10.0,17.0,15.0,10.0,8.0,49.0,27.0,37.0,27.0,21.0,16.0,41.0,39.0,0.0,10.0,0.0,10.0,0.0,10.0,0.04047348484848484,0.4582352941176471,0.08832467810324035
67,Regent Square,67,476.0,28.0,10.0,11.0,22.0,18.0,24.0,19.0,12.0,13.0,10.0,11.0,12.0,13.0,9.0,9.0,16.0,14.0,17.0,15.0,39.0,23.0,56.0,25.0,52.0,25.0,47.0,23.0,38.0,23.0,59.0,32.0,53.0,28.0,0.06904411764705881,0.793939393939394,0.08696396497530308
80,Stanton Heights,80,2056.0,129.046503246,96.0,47.9270278653,94.0,47.2440472441,146.0,55.072679252,148.0,70.3562363974,130.0,53.4228415568,79.0,49.8598034493,90.0,51.9903837263,105.0,52.668776329,115.0,49.2848861215,223.0,81.4493707772,223.0,78.8035532194,282.0,85.9069263797,83.0,39.6106046407,112.0,65.4064217031,62.0,35.9165699921,68.0,47.8225888049,0.045321011673151744,0.5499999999999999,0.08240183940573045
49,Manchester,49,984.0,119.331471121,117.0,53.600373133,86.0,58.5234995536,56.0,39.2173431023,32.0,28.319604517,99.0,55.0726792521,56.0,33.3016516107,36.0,27.8028775489,105.0,46.9574275275,61.0,47.5078940809,71.0,39.8246155035,58.0,31.8276609257,82.0,42.8018691181,31.0,28.7923600978,9.0,17.2046505341,46.0,47.4236228055,39.0,42.201895692,0.0385010162601626,0.47131336405529956,0.0816887854163313
12,Bon Air,12,372.0,71.0,5.0,7.0,6.0,9.0,46.0,55.0,29.0,25.0,27.0,20.0,0.0,10.0,8.0,12.0,2.0,4.0,17.0,21.0,49.0,34.0,79.0,48.0,58.0,33.0,22.0,22.0,18.0,19.0,6.0,17.0,0.0,10.0,0.04379032258064516,0.5380434782608695,0.0813880742913001
23,Crafton Heights,23,1677.0,126.795110316,244.0,68.9710084021,99.0,51.4684369298,92.0,50.7346035758,101.0,44.8330235429,75.0,36.8646171824,130.0,56.7009700094,67.0,28.6530975638,129.0,52.4690384894,72.0,42.6848919408,129.0,49.7795138586,181.0,59.2452529744,191.0,76.1774244773,82.0,40.5215991787,22.0,20.4450483003,56.0,28.5832118559,7.0,20.0,0.03565891472868217,0.44341463414634147,0.08041889460263855
62,Perry North,62,1625.0,132.238421044,108.0,50.199601592,72.0,43.3474336034,56.0,34.9141805002,112.0,55.7404700375,88.0,42.5323406363,132.0,64.0156230932,162.0,70.9859140957,110.0,46.4542785973,79.0,47.2334627144,144.0,49.0611862881,102.0,40.4227658629,149.0,58.36951259,105.0,42.4970587217,73.0,31.906112267,80.0,45.8475735454,53.0,35.5668384875,0.045030769230769235,0.5655818540433925,0.07961848299912817
33,Fineview,33,624.0,108.931170929,169.0,67.2011904656,61.0,38.275318418,64.0,53.3666562565,49.0,32.5576411922,58.0,44.1474801093,21.0,17.0,14.0,19.6468827044,0.0,14.1421356237,11.0,10.8166538264,23.0,14.2126704036,34.0,28.3019433962,68.0,50.0899191455,0.0,14.1421356237,8.0,8.60232526704,44.0,34.3656805549,0.0,14.1421356237,0.02778846153846154,0.34987745098039214,0.07942341371413177
