neighborhood,count
BEECHVIEW,6
SOUTH SIDE SLOPES,6
HAZELWOOD,5
MOUNT WASHINGTON,5
TROY HILL,5
SHERADEN,4
EAST LIBERTY,4
MARSHALL-SHADELAND,4
ELLIOTT,4
SOUTH OAKLAND,3
BLOOMFIELD,3
NORTH SHORE,3
CRAWFORD-ROBERTS,3
MANCHESTER,3
CENTRAL BUSINESS DISTRICT,3
UPPER LAWRENCEVILLE,3
SQUIRREL HILL SOUTH,3
CARRICK,3
SPRING HILL-CITY VIEW,3
GARFIELD,3
SOUTH SIDE FLATS,3
BRIGHTON HEIGHTS,3
LOWER LAWRENCEVILLE,3
BELTZHOOVER,3
TERRACE VILLAGE,2
ALLEGHENY CENTER,2
CENTRAL NORTHSIDE,2
STRIP DISTRICT,2
LINCOLN PLACE,2
CRAFTON HEIGHTS,2
PERRY SOUTH,2
ALLENTOWN,2
FINEVIEW,2
SPRING GARDEN,2
BROOKLINE,2
LINCOLN-LEMINGTON-BELMAR,2
WESTWOOD,2
BANKSVILLE,2
CENTRAL OAKLAND,2
GREENFIELD,2
HIGHLAND PARK,2
PERRY NORTH,2
BEDFORD DWELLINGS,1
FAIRYWOOD,1
ESPLEN,1
EAST HILLS,1
EAST CARNEGIE,1
BON AIR,1
HOMEWOOD NORTH,1
WINDGAP,1
DUQUESNE HEIGHTS,1
ARLINGTON,1
HOMEWOOD WEST,1
STANTON HEIGHTS,1
HAYS,1
CENTRAL LAWRENCEVILLE,1
HOMEWOOD SOUTH,1
MORNINGSIDE,1
LARIMER,1
POINT BREEZE,1
OAKWOOD,1
UPPER HILL,1
NEW HOMESTEAD,1
WEST OAKLAND,1
SWISSHELM PARK,1
BLUFF,1
MIDDLE HILL,1
WEST END,1
POLISH HILL,1
POINT BREEZE NORTH,1
SQUIRREL HILL NORTH,1
