NEIGHBORHOOD,Weighted_Score,Total_Incidents
ALLEGHENY CENTER,106.5,157
ALLEGHENY WEST,19.5,24
ALLENTOWN,121.0,191
ARLINGTON,60.0,102
ARLINGTON HEIGHTS,4.0,7
BANKSVILLE,27.0,39
BEDFORD DWELLINGS,41.0,69
BEECHVIEW,92.0,153
BELTZHOOVER,47.0,78
BLOOMFIELD,98.5,149
BLUFF,90.0,147
BON AIR,13.5,25
BRIGHTON HEIGHTS,89.0,150
BROOKLINE,181.5,310
CALIFORNIA-KIRKBRIDE,27.5,35
CARRICK,274.5,456
CENTRAL BUSINESS DISTRICT,1356.0,2027
CENTRAL LAWRENCEVILLE,82.0,149
CENTRAL NORTH SIDE,89.0,140
CENTRAL OAKLAND,569.5,665
CHARTIERS CITY,1.5,3
CHATEAU,41.5,66
CRAFTON HEIGHTS,36.0,64
CRAWFORD-ROBERTS,64.0,102
DUQUESNE HEIGHTS,14.5,21
EAST ALLEGHENY,238.0,360
EAST CARNEGIE,12.5,22
EAST HILLS,93.0,155
EAST LIBERTY,189.0,258
ELLIOTT,81.5,134
ESPLEN,19.0,29
FAIRYWOOD,7.5,14
FINEVIEW,23.5,39
FRIENDSHIP,17.5,17
GARFIELD,63.0,106
GLEN HAZEL,22.0,33
GOLDEN TRIANGLE/CIVIC ARENA,30.5,42
GREENFIELD,104.5,155
HAYS,7.0,9
HAZELWOOD,177.5,285
HIGHLAND PARK,30.0,51
HOMEWOOD NORTH,125.5,207
HOMEWOOD SOUTH,132.0,227
HOMEWOOD WEST,32.0,58
KNOXVILLE,149.5,247
LARIMER,91.5,160
LINCOLN PLACE,26.5,41
LINCOLN-LEMINGTON-BELMAR,92.5,155
LOWER LAWRENCEVILLE,24.0,31
MANCHESTER,19.5,35
MARSHALL-SHADELAND,84.5,129
MIDDLE HILL,60.0,106
MORNINGSIDE,14.0,24
MOUNT OLIVER,16.5,28
MOUNT WASHINGTON,208.5,329
MT. OLIVER BORO,2.0,3
MT. OLIVER NEIGHBORHOOD,2.0,4
NAN,557.0,916
NEW HOMESTEAD,4.0,8
NORTH OAKLAND,154.0,199
NORTH SHORE,384.5,577
NORTHVIEW HEIGHTS,39.5,70
OAKWOOD,7.0,10
OVERBROOK,33.0,58
PERRY NORTH,29.5,53
PERRY SOUTH,55.0,85
POINT BREEZE,33.5,51
POINT BREEZE NORTH,33.5,48
POLISH HILL,13.5,18
REGENT SQUARE,5.0,9
RIDGEMONT,2.5,4
SHADYSIDE,210.0,304
SHERADEN,158.0,265
SOUTH OAKLAND,103.0,132
SOUTH SHORE,33.5,52
SOUTH SIDE FLATS,2249.5,3453
SOUTH SIDE SLOPES,124.5,188
SPRING GARDEN,5.0,10
SPRING HILL-CITY VIEW,32.5,55
SQUIRREL HILL NORTH,141.5,173
SQUIRREL HILL SOUTH,173.0,272
ST. CLAIR,3.0,3
STANTON HEIGHTS,15.0,28
STRIP DISTRICT,63.0,101
SUMMER HILL,4.0,7
SWISSHELM PARK,4.0,6
TERRACE VILLAGE,25.0,39
TROY HILL,30.5,51
UPPER HILL,14.5,26
UPPER LAWRENCEVILLE,28.0,35
WEST END,17.0,31
WEST OAKLAND,43.0,63
WESTWOOD,22.0,36
WINDGAP,8.5,17
